"horse_number","name"
1,"レコードチェイサー"
2,"メイケイダイハード"
3,"ペイシャルアス"
4,"スワーヴアーサー"
5,"マイネルパラディ"
6,"ニホンピロヘンソン"
7,"コーディエライト"
8,"ヤマカツグレース"
9,"エスターテ"
10,"ダイトウキョウ"
11,"ホウオウカトリーヌ"
12,"ニシノキントウン"
13,"ハウメア"
14,"アイファープリティ"
15,"パラダイスガーデン"
16,"ニシオボヌール"
