開催年,開催日付,競馬場コード,開催回次,開催日目,レース番号,枠番,馬番,血統番号,馬名,性別,毛色コード,馬齢,東西所属コード,調教師コード,斤量,ブリンカー仕様区分,騎手コード,騎手見習いコード,馬体重,増減符号,増減差,着順,走破タイム,単勝オッズ,単勝人気,着差,グレードコード,競争種別コード,重量種別コード,競争条件コード,距離,芝ダート,回り方向,コース区分,本賞金,出走頭数,天気コード,芝馬場,ダート馬場,開催年_1走前,開催日付_1走前,競馬場コード_1走前,馬番_1走前,斤量_1走前,ブリンカー仕様区分_1走前,騎手コード_1走前,騎手名_1走前,馬体重_1走前,異常区分コード_1走前,着順_1走前,1コーナー順位_1走前,2コーナー順位_1走前,3コーナー順位_1走前,4コーナー順位_1走前,単勝オッズ_1走前,単勝人気_1走前,ラスト3Fタイム_1走前,着差_1走前,グレードコード_1走前,競争種別コード_1走前,重量種別コード_1走前,距離_1走前,芝ダート_1走前,回り方向_1走前,競争条件コード_1走前,コース区分_1走前,本賞金_1走前,出走頭数_1走前,天気コード_1走前,芝馬場_1走前,ダート馬場_1走前,開催年_2走前,開催日付_2走前,競馬場コード_2走前,馬番_2走前,斤量_2走前,ブリンカー仕様区分_2走前,騎手コード_2走前,騎手名_2走前,馬体重_2走前,異常区分コード_2走前,着順_2走前,1コーナー順位_2走前,2コーナー順位_2走前,3コーナー順位_2走前,4コーナー順位_2走前,単勝オッズ_2走前,単勝人気_2走前,ラスト3Fタイム_2走前,着差_2走前,グレードコード_2走前,競争種別コード_2走前,重量種別コード_2走前,距離_2走前,芝ダート_2走前,回り方向_2走前,競争条件コード_2走前,コース区分_2走前,本賞金_2走前,出走頭数_2走前,天気コード_2走前,芝馬場_2走前,ダート馬場_2走前,開催年_3走前,開催日付_3走前,競馬場コード_3走前,馬番_3走前,斤量_3走前,ブリンカー仕様区分_3走前,騎手コード_3走前,騎手名_3走前,馬体重_3走前,異常区分コード_3走前,着順_3走前,1コーナー順位_3走前,2コーナー順位_3走前,3コーナー順位_3走前,4コーナー順位_3走前,単勝オッズ_3走前,単勝人気_3走前,ラスト3Fタイム_3走前,着差_3走前,グレードコード_3走前,競争種別コード_3走前,重量種別コード_3走前,距離_3走前,芝ダート_3走前,回り方向_3走前,競争条件コード_3走前,コース区分_3走前,本賞金_3走前,出走頭数_3走前,天気コード_3走前,芝馬場_3走前,ダート馬場_3走前
2019,309,6,2,5,10,5,6,2015103452,ゴールドギア,1,4,4,1,1023,550,0,1122,0,0,,0,0,0,0,0,0,E,14,1,16,2500,s,R,A,182000,0,0,0,0,2019.0,106.0,6.0,10.0,560.0,0.0,1122.0,三浦皇成,482.0,0.0,1.0,11.0,11.0,11.0,9.0,45.0,2.0,342.0,0.0,,14.0,4.0,2000.0,,R,10.0,C,110000.0,12.0,2.0,1.0,0.0,2018.0,1125.0,5.0,12.0,550.0,0.0,5339.0,ルメール,478.0,0.0,8.0,0.0,11.0,11.0,9.0,26.0,1.0,342.0,12.0,E,13.0,1.0,1800.0,,L,10.0,C,150000.0,14.0,1.0,1.0,0.0,2018.0,1027.0,4.0,3.0,550.0,0.0,1095.0,吉田隼人,472.0,0.0,2.0,0.0,0.0,11.0,12.0,60.0,2.0,337.0,0.0,E,13.0,4.0,1800.0,,L,10.0,A,150000.0,13.0,2.0,2.0,0.0
2019,309,6,2,5,10,6,7,2012104268,スモークフリー,1,7,7,1,1054,540,0,733,0,0,,0,0,0,0,0,0,E,14,1,16,2500,s,R,A,182000,0,0,0,0,2019.0,217.0,5.0,8.0,540.0,0.0,5203.0,岩田康誠,534.0,0.0,9.0,0.0,11.0,11.0,11.0,1295.0,10.0,343.0,14.0,E,14.0,1.0,2000.0,,L,16.0,D,182000.0,11.0,1.0,1.0,0.0,2019.0,119.0,6.0,13.0,570.0,0.0,1096.0,大野拓弥,538.0,0.0,13.0,11.0,11.0,11.0,10.0,2667.0,13.0,345.0,10.0,E,14.0,4.0,1800.0,,R,16.0,C,182000.0,14.0,1.0,1.0,0.0,2018.0,203.0,5.0,3.0,570.0,0.0,660.0,横山典弘,540.0,0.0,14.0,0.0,0.0,16.0,16.0,469.0,10.0,355.0,20.0,E,14.0,4.0,1600.0,,L,16.0,D,182000.0,16.0,1.0,2.0,0.0
2019,309,6,2,5,10,6,8,2013105945,フェイズベロシティ,2,1,6,1,1017,530,0,5517,0,0,,0,0,0,0,0,0,E,14,1,16,2500,s,R,A,182000,0,0,0,0,2019.0,106.0,6.0,2.0,550.0,0.0,1043.0,北村宏司,464.0,0.0,4.0,9.0,9.0,10.0,8.0,162.0,6.0,343.0,3.0,E,14.0,4.0,2200.0,,R,16.0,C,182000.0,12.0,2.0,1.0,0.0,2018.0,1222.0,6.0,8.0,530.0,0.0,1043.0,北村宏司,462.0,0.0,2.0,10.0,9.0,9.0,11.0,160.0,7.0,359.0,5.0,E,13.0,1.0,2500.0,,R,16.0,A,182000.0,13.0,4.0,1.0,0.0,2018.0,1008.0,5.0,5.0,530.0,0.0,1150.0,石川裕紀,454.0,0.0,7.0,10.0,10.0,11.0,10.0,124.0,4.0,348.0,12.0,E,13.0,1.0,2400.0,,L,16.0,A,182000.0,13.0,2.0,1.0,0.0
2019,309,6,2,5,10,7,9,2014102894,パリンジェネシス,1,4,5,2,1110,550,0,1088,0,0,,0,0,0,0,0,0,E,14,1,16,2500,s,R,A,182000,0,0,0,0,2018.0,1222.0,9.0,5.0,570.0,0.0,1088.0,川田将雅,524.0,0.0,1.0,7.0,5.0,2.0,2.0,37.0,2.0,357.0,-2.0,E,13.0,4.0,2400.0,,R,10.0,B,150000.0,9.0,2.0,2.0,0.0,2018.0,1110.0,8.0,6.0,570.0,0.0,1088.0,川田将雅,516.0,0.0,6.0,1.0,1.0,1.0,1.0,44.0,3.0,363.0,8.0,,13.0,4.0,2200.0,,R,10.0,B,105000.0,8.0,1.0,1.0,0.0,2018.0,1014.0,8.0,8.0,570.0,0.0,1088.0,川田将雅,514.0,0.0,3.0,3.0,3.0,4.0,3.0,20.0,1.0,341.0,1.0,,13.0,4.0,2200.0,,R,10.0,A,105000.0,8.0,1.0,1.0,0.0
2019,309,6,2,5,10,7,10,2014100740,マイネルクラース,1,3,5,1,1088,560,0,422,0,0,,0,0,0,0,0,0,E,14,1,16,2500,s,R,A,182000,0,0,0,0,2019.0,216.0,5.0,3.0,570.0,0.0,1009.0,柴田大知,462.0,0.0,5.0,7.0,6.0,7.0,5.0,270.0,8.0,377.0,12.0,E,14.0,4.0,2100.0,,L,16.0,,182000.0,12.0,1.0,0.0,1.0,2018.0,1222.0,9.0,13.0,570.0,0.0,1018.0,和田竜二,460.0,0.0,9.0,15.0,15.0,16.0,14.0,287.0,8.0,356.0,11.0,E,13.0,1.0,1800.0,,R,16.0,,182000.0,16.0,3.0,0.0,2.0,2018.0,1124.0,8.0,8.0,570.0,0.0,1088.0,川田将雅,458.0,0.0,4.0,7.0,7.0,7.0,7.0,202.0,8.0,371.0,5.0,E,13.0,1.0,1900.0,,R,16.0,,182000.0,16.0,1.0,0.0,1.0
2019,309,6,2,5,10,8,11,2013101162,コウキチョウサン,1,3,6,1,1114,540,0,1085,0,0,,0,0,0,0,0,0,E,14,1,16,2500,s,R,A,182000,0,0,0,0,2019.0,127.0,5.0,4.0,540.0,0.0,1043.0,北村宏司,468.0,0.0,4.0,5.0,5.0,5.0,5.0,131.0,6.0,348.0,6.0,E,14.0,1.0,2400.0,,L,16.0,D,182000.0,11.0,1.0,1.0,0.0,2019.0,106.0,8.0,5.0,510.0,0.0,1157.0,鮫島克駿,462.0,0.0,6.0,8.0,8.0,8.0,7.0,284.0,6.0,351.0,10.0,E,14.0,1.0,3000.0,,R,999.0,A,240000.0,9.0,2.0,1.0,0.0,2018.0,1201.0,6.0,4.0,560.0,0.0,1043.0,北村宏司,462.0,0.0,7.0,6.0,7.0,7.0,6.0,105.0,6.0,365.0,12.0,B,13.0,2.0,3600.0,,R,999.0,A,620000.0,13.0,1.0,1.0,0.0
2019,309,6,2,5,10,8,12,2011100651,トレジャーマップ,1,3,8,1,1043,510,0,1009,0,0,,0,0,0,0,0,0,E,14,1,16,2500,s,R,A,182000,0,0,0,0,2018.0,1103.0,5.0,8.0,520.0,0.0,684.0,田中勝春,444.0,0.0,10.0,0.0,9.0,8.0,9.0,2393.0,10.0,346.0,14.0,E,13.0,1.0,2000.0,,L,16.0,B,182000.0,10.0,1.0,1.0,0.0,2018.0,1008.0,5.0,4.0,520.0,0.0,1117.0,丸田恭介,448.0,0.0,10.0,6.0,4.0,6.0,5.0,516.0,10.0,352.0,13.0,E,13.0,1.0,2400.0,,L,16.0,A,182000.0,13.0,2.0,1.0,0.0,2018.0,818.0,4.0,5.0,570.0,0.0,422.0,内田博幸,444.0,0.0,6.0,4.0,5.0,5.0,5.0,940.0,7.0,347.0,9.0,E,13.0,4.0,2200.0,,L,16.0,A,182000.0,7.0,1.0,1.0,0.0
2019,309,6,2,5,11,1,1,2013106072,アドマイヤリード,2,5,6,2,1105,560,0,660,0,0,,0,0,0,0,0,0,C,14,1,999,1800,s,R,A,360000,0,0,0,0,2019.0,105.0,6.0,2.0,560.0,0.0,660.0,横山典弘,430.0,0.0,4.0,4.0,3.0,4.0,4.0,176.0,8.0,352.0,1.0,C,14.0,1.0,2000.0,,R,999.0,C,410000.0,16.0,1.0,1.0,0.0,2018.0,1216.0,6.0,9.0,560.0,0.0,660.0,横山典弘,430.0,0.0,1.0,5.0,6.0,8.0,8.0,62.0,3.0,344.0,-1.0,E,13.0,2.0,1800.0,,R,999.0,A,240000.0,11.0,2.0,1.0,0.0,2018.0,1111.0,8.0,6.0,560.0,0.0,1116.0,藤岡康太,432.0,0.0,14.0,14.0,14.0,13.0,13.0,621.0,11.0,345.0,10.0,A,13.0,4.0,2200.0,,R,999.0,B,1050000.0,17.0,1.0,1.0,0.0
2019,309,6,2,5,11,2,2,2015104765,ノームコア,2,7,4,1,1017,550,0,1075,0,0,,0,0,0,0,0,0,C,14,1,999,1800,s,R,A,360000,0,0,0,0,2019.0,126.0,7.0,11.0,550.0,0.0,5339.0,ルメール,468.0,0.0,2.0,9.0,10.0,10.0,10.0,30.0,1.0,335.0,1.0,C,14.0,1.0,2000.0,,L,999.0,B,360000.0,14.0,1.0,1.0,0.0,2018.0,1111.0,8.0,13.0,540.0,0.0,5339.0,ルメール,466.0,0.0,5.0,5.0,3.0,3.0,3.0,38.0,2.0,349.0,6.0,A,13.0,4.0,2200.0,,R,999.0,B,1050000.0,17.0,1.0,1.0,0.0,2018.0,908.0,6.0,14.0,540.0,0.0,5339.0,ルメール,456.0,0.0,1.0,5.0,4.0,6.0,5.0,42.0,2.0,336.0,-5.0,C,12.0,3.0,2000.0,,R,999.0,B,350000.0,16.0,1.0,1.0,0.0
2019,309,6,2,5,11,3,3,2014101058,カワキタエンカ,2,3,5,2,1138,540,0,1032,0,0,,0,0,0,0,0,0,C,14,1,999,1800,s,R,A,360000,0,0,0,0,2018.0,1215.0,6.0,15.0,550.0,0.0,1032.0,池添謙一,466.0,0.0,14.0,0.0,1.0,1.0,1.0,193.0,7.0,364.0,7.0,C,13.0,1.0,1600.0,,R,999.0,A,360000.0,16.0,1.0,1.0,0.0,2018.0,1104.0,8.0,7.0,550.0,0.0,1032.0,池添謙一,470.0,0.0,16.0,2.0,2.0,6.0,11.0,202.0,8.0,426.0,56.0,A,13.0,4.0,1800.0,,R,999.0,,500000.0,16.0,1.0,0.0,1.0,2018.0,1013.0,5.0,9.0,540.0,0.0,1032.0,池添謙一,464.0,0.0,6.0,0.0,1.0,1.0,1.0,238.0,8.0,353.0,5.0,B,13.0,2.0,1800.0,,L,999.0,A,550000.0,11.0,2.0,1.0,0.0
